,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
0,[New Containers] Remove input/process dotted line separation in flows and add background color for source,Right now the flow container has a dashed line that separates the INPUT from the PROCESS part of the flow. The dashed line should be removed in favor of just changing the background color of the INPUT section.    Pending mockups.,EST_BE,Medium,INT Sprint 1,16,16,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
1,Studio support for new OAuth configuration,"As a Studio user, I will like to have support for the new OAuth configuration.  Studio editors should support generating the improved user experience XML.",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
2,"migrate items from 562 get error dialog popup, and ""Pattern Frequency"" indicator still show old name in analysis.","1. start 562 tac, on configuration page select  mysql  database,  create two svn projects in (Project type: DataQuality)  in two projects create items like file attached(attached zip file is a remote project)  2. stop 562 tac.  3. start 621 tac, on the configuration page select the database used in 562, then it will inform need to migration, do migration.  4. logon the 621 tac, will show the project has created on 562.  5. start 621 studio, make sure it is a new workspace,  logon the remote project. then first perspective is DI, then change to DQ, get error dialog pop up.  6. check the analysis ""column_java_in_first"" and ""column_sql_in_first"", the ""Pattern Frequency"" ,""Pattern Low Frequency"" and ""Date Pattern Frequency"" indicators still show old name.  7. exit studio, then logon another project, during the start up also get error dialog popup.",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
3,Allow extensions code to be splitted in several units,"As described in the execution section of the spec, a extension's developer needs to have the option to spread the configurations and operations across several classes which instances have their own lifecycle.",EST_BE,Medium,INT Sprint 1,16,16,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
4,HdfsMongoDB Job failing due because of missing ID in Default Tuple,"Looks to have been introduced by https://github.com/spring-projects/spring-xd/pull/1577  Deployment: single admin, 2 container deployment using +RabbitMQ+ as the transport.  Below is a partial stacktrace (please check log for full stacktrace).  Log is attached.  {noformat)  2015-05-15 10:50:15,843 1.2.0.SNAP ERROR xdbus.job:ec2Job3-1 step.AbstractStep - Encountered an error executing step readResourcesStep in job ec2Job3  org.springframework.dao.InvalidDataAccessApiUsageException: Cannot autogenerate id of type java.util.UUID for entity of type org.springframework.xd.tuple.DefaultTuple!          at org.springframework.data.mongodb.core.MongoTemplate.assertUpdateableIdIfNotSet(MongoTemplate.java:1153)          at org.springframework.data.mongodb.core.MongoTemplate.doSave(MongoTemplate.java:882)          at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:837)          at org.springframework.batch.item.data.MongoItemWriter.doWrite(MongoItemWriter.java:128)          at org.springframework.batch.item.data.MongoItemWriter$1.beforeCommit(MongoItemWriter.java:156)          at org.springframework.transaction.support.TransactionSynchronizationUtils.triggerBeforeCommit(TransactionSynchronizationUtils.java:95)          at org.springframework.transaction.support.AbstractPlatformTransactionManager.triggerBeforeCommit(AbstractPlatformTransactionManager.java:928)          at org.springframework.transaction.support.AbstractPlatformTransactionManager.processCommit(AbstractPlatformTransactionManager.java:740)          at org.springframework.transaction.support.AbstractPlatformTransactionManager.commit(AbstractPlatformTransactionManager.java:726)          at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)          at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)          at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)          at java.lang.reflect.Method.invoke(Method.java:606)  {noformat)",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
5,Rename controllers to have pluralized named (e.g. JobsController),"See implementation used for Steams and apply to jobs, taps, triggers.",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
6,Reproducing errors of the current obs_decam package,"Learning the stack and development worlflow by reproducing errors in obs_decam as DM-3196.  Changes from the stack need to be incorporated into obs_decam package to keep the package up to date, hence the errors. As a learning process I reproduced the errors and used her fix (afw branch u/yusra/DM-3196) to move on.  ",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
7,Week end 1/23/16,"Support for lsst-dev cluster, OpenStack, and accounts  for week ending January 23, 2016.",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
8,Ruby: Problem formatting Ruby source code where block contains only comments,ctrl-shift-f can't format source code of the attached file.,EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
9,Unify connectors and endpoints part 2,Need to finish implementation of https://docs.google.com/a/mulesoft.com/spreadsheet/ccc?key=0Ag_HMY-0TfqodGoxWHBfVFNkZ3kxS0FBSEtUQWswMkE&usp=drive_web,EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
