Task name,Task description,Label,Task priority,Sprint number,Planned estimate,Actual estimate,Optimistic,Most likely,Pessimistic,Risk factor,Weighted average,Standard deviation,Confidence interval,Complexity factor,Final esimate,
Create modules for end-to-end pattern detection algorithm,,,Medium,DROW Sprint 5,40,43,,,,,,,,,,
Module for sleepiness detection - 2,"This module should be able to detect whenever a person is feeling drowsy or sleepy. This module will use eyelid, lips and head tracking models.",EST_AI,Medium,DROW Sprint 4,20,20,,,,,,,,,,
Module for focus detection,Create model for focus detection which calculate the focus time of the user.,EST_AI,High,DROW Sprint 5,0,41,,,,,,,,,,
Module for distraction detection,"This module should be able to detect whenever a person is distracted. This module will use eyelid, lips and head tracking models.",EST_AI,Medium,DROW Sprint 4,40,38,,,,,,,,,,
"Create modules for the data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session)","Create modules for the data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session)",,Medium,DROW Sprint 5,0,16,,,,,,,,,,
Create module for data to be displayed in dashboard with dummy data and structure it as per session.,Create module for data to be displayed in dashboard with dummy data and structure it as per session.,,Medium,DROW Sprint 5,0,16,,,,,,,,,,
Tune the model training parameters to improve accuracy - 1st variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,12,,,,,,,,,,
Evaluate the model,"Evaluate the trained model performance on the validation dataset and compare its performance by metrics, loss, and accuracy graphs.",EST_AI,Medium,ET Sprint 3,8,9,,,,,,,,,,
Train the model,Use a high computational system for training the model. Execute the model training script and monitor the performance of the model.,EST_AI,Medium,ET Sprint 3,24,23,,,,,,,,,,
Create training and utility scripts,Training script - Create a model training script containing all the required hyperparameters and set the fit function for the model. Utility scripts - Create a helper script.,EST_AI,Medium,ET Sprint 3,8,8,,,,,,,,,,
"Create model architecture, Define loss function, optimizer, metrics, training and validation parameters","Model architecture - Define the model branches, layers, activation functions, and kernel initializers. Loss function - Speficy the loss for the model. Optimizer - Specify the optimizer to minimize the loss function. Metrics - Speficy the accuracy. Training & Validation parameters - Speficy other hyperparameters",EST_AI,Medium,ET Sprint 3,8,7,,,,,,,,,,
"Create data preprocessing, feature engineering and feature encoding modules","Data preprocessing - Data cleaning and transforming script, Feature engineering - Python script to create and select features from raw data, Feature encoding - Converts categorical or text values into numerical vectors",EST_AI,Medium,ET Sprint 3,8,9,,,,,,,,,,
BE-JIRA integration with authentication and authorizations,Implementating authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,,,,,,,,,,
BE - Status of task already fetched from JIRA and updated to Jira,Implementing  sync and update feature for modified tasks.,EST_BE,Medium,ET Sprint 3,16,8,,,,,,,,,,
FE - Status of task already fetched from JIRA and updated to Jira,Implemention of  sync and update feature for modified tasks.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
BE - Update AI estimates to JIRA Single/Bulk,getting AI estimates and updating to JIRA.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
FE - Update AI estimates to JIRA Single/Bulk,,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
BE - Task details page/popup - with edit features,Implementation of each task details saving into DB and Jira  after modifications.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
